timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Feb 2, 2026 @ 23:16:58.428",Raistlin,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:16:58.428",Raistlin,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:16:58.428",Raistlin,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:16:58.382",Raistlin,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:16:58.381",Raistlin,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:16:38.382",Raistlin,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:16:38.382",Raistlin,"[""T1078"",""T1021""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access"",""Lateral Movement""]",sshd: authentication success.,3,5715
"Feb 2, 2026 @ 23:15:48.371",Raistlin,"[""T1078"",""T1021""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access"",""Lateral Movement""]",sshd: authentication success.,3,5715
"Feb 2, 2026 @ 23:15:48.370",Raistlin,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:15:28.360",Raistlin,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: authentication failed.,5,5760
"Feb 2, 2026 @ 23:15:20.365",Raistlin,"[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",sshd: authentication failed.,5,5760
"Feb 2, 2026 @ 23:15:18.402",Raistlin,"[""T1110.001""]","[""Credential Access""]",PAM: User login failed.,5,5503
"Feb 2, 2026 @ 23:11:42.555",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:11:42.555",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:09:04.547",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:09:04.502",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:08:50.541",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:08:50.499",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:08:32.547",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:08:32.503",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:07:56.501",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:07:56.499",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:07:44.488",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:07:30.481",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:07:30.479",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402
"Feb 2, 2026 @ 23:07:20.478",Takhisis,"[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",PAM: Login session opened.,3,5501
"Feb 2, 2026 @ 23:07:20.476",Takhisis,"[""T1548.003""]","[""Privilege Escalation"",""Defense Evasion""]",Successful sudo to ROOT executed.,3,5402